t_ms,pwm_cmd,dir,enc_count,rpm
0,0,N,0,0.00
10,0,N,0,0.00
20,0,N,0,0.00
30,0,N,0,0.00
40,0,N,0,0.00
50,0,N,0,0.00
60,0,N,0,0.00
70,0,N,0,0.00
80,0,N,0,0.00
90,0,N,0,0.00
100,0,N,0,0.00
110,0,N,0,0.00
120,0,N,0,0.00
130,0,N,0,0.00
140,0,N,0,0.00
150,0,N,0,0.00
160,0,N,0,0.00
170,0,N,0,0.00
180,0,N,0,0.00
190,0,N,0,0.00
200,0,N,0,0.00
210,0,N,0,0.00
220,0,N,0,0.00
230,0,N,0,0.00
240,0,N,0,0.00
250,0,N,0,0.00
260,0,N,0,0.00
270,0,N,0,0.00
280,0,N,0,0.00
290,0,N,0,0.00
300,0,N,0,0.00
310,0,N,0,0.00
320,0,N,0,0.00
330,0,N,0,0.00
340,0,N,0,0.00
350,0,N,0,0.00
360,0,N,0,0.00
370,0,N,0,0.00
380,0,N,0,0.00
390,0,N,0,0.00
400,0,N,0,0.00
410,0,N,0,0.00
420,0,N,0,0.00
430,0,N,0,0.00
440,0,N,0,0.00
450,0,N,0,0.00
460,0,N,0,0.00
470,0,N,0,0.00
480,0,N,0,0.00
490,0,N,0,0.00
500,200,F,0,0.00
510,200,F,0,0.00
520,200,F,5,12.50
530,200,F,15,24.99
540,200,F,28,32.51
550,200,F,43,37.50
560,200,F,61,45.00
570,200,F,81,49.97
580,200,F,102,52.52
590,200,F,126,59.99
600,200,F,152,65.01
610,200,F,179,67.50
620,200,F,209,75.00
630,200,F,239,75.01
640,200,F,271,80.01
650,200,F,303,79.98
660,200,F,337,85.03
670,200,F,371,84.98
680,200,F,406,87.51
690,200,F,442,90.00
700,200,F,478,90.00
710,200,F,515,92.50
720,200,F,553,95.00
730,200,F,591,94.99
740,200,F,630,97.52
750,200,F,668,94.96
760,200,F,707,97.52
770,200,F,748,102.52
780,200,F,788,99.98
790,200,F,830,105.00
800,200,F,871,102.52
810,200,F,913,104.97
820,200,F,954,102.52
830,200,F,996,105.00
840,200,F,1037,102.50
850,200,F,1079,105.00
860,200,F,1130,127.49
870,200,F,1174,110.00
880,200,F,1216,105.00
890,200,F,1260,110.02
900,200,F,1303,107.47
910,200,F,1346,107.51
920,200,F,1390,110.00
930,200,F,1428,94.99
940,200,F,1473,112.51
950,200,F,1517,110.02
960,200,F,1562,112.49
970,200,F,1606,110.01
980,200,F,1651,112.49
990,200,F,1696,112.51
1000,200,F,1742,114.97
1010,200,F,1787,112.51
1020,200,F,1832,112.52
1030,200,F,1877,112.50
1040,200,F,1923,114.99
1050,200,F,1969,114.99
1060,200,F,2015,114.99
1070,200,F,2061,115.01
1080,200,F,2106,112.48
1090,200,F,2152,115.05
1100,200,F,2197,112.48
1110,200,F,2242,112.47
1120,200,F,2285,107.51
1130,200,F,2330,112.50
1140,200,F,2374,110.01
1150,200,F,2417,107.52
1160,200,F,2461,109.98
1170,200,F,2505,110.03
1180,200,F,2551,115.00
1190,200,F,2596,112.50
1200,200,F,2642,114.99
1210,200,F,2687,112.48
1220,200,F,2733,114.95
1230,200,F,2777,110.08
1240,200,F,2822,112.48
1250,200,F,2866,110.00
1260,200,F,2912,115.01
1270,200,F,2957,112.49
1280,200,F,3002,112.52
